data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5018492,356,IND48166,48166,16-Mar-19,2019,1,Protests,Protest with intervention,Protesters (India),AGP: Asom Gana Parishad,6,Police Forces of India (2014-),,1,16,Southern Asia,India,Assam,Kamrup Metropolitan,Guwahati,Guwahati,26.1892,91.7722,1,Time8,Subnational,"On March 16, hundreds of AGP leaders and party workers staged a protest in front of the party headquarters at Ambari in Guwahati city (Kamrup Metropolitan, Assam), against the party's decision to renew its alliance with the BJP, before the Lok Sabha elections, to be held from April 11 to May 19. The police was deployed to the area to block the demonstrators. [size=hundreds]",0,1552995118,IND
5018493,356,IND48165,48165,16-Mar-19,2019,1,Riots,Mob violence,Rioters (India),BJP: Bharatiya Janata Party,5,Civilians (India),CPI(M): Communist Party of India (Marxist),7,57,Southern Asia,India,Tripura,West Tripura,Khowai,Khowai,24.067,91.6057,2,Tripura Infoway,Subnational,"On March 16, a 75-year-old CPI-M leader was attacked and seriously injured by a group of BJP supporters in Khowai city area (Khowai, Tripura). [size=no report]",0,1552995118,IND
5018498,356,IND48144,48144,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),CPI(M): Communist Party of India (Marxist),6,,,0,60,Southern Asia,India,Tamil Nadu,Karur,Karur,Karur,10.9577,78.0809,2,Indo-Asian News Service,National,"On 16 Mar, in Karur district (TN), the CPI-M staged a protest against the Pollachi sexual abuse case. [size=no report]",0,1552995118,IND
5018499,356,IND48146,48146,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),SPI: Satta Panchayat Iyakkam; Tamil Ethnic Group (India),6,,,0,60,Southern Asia,India,Tamil Nadu,Tirunelveli,Tirunelveli,Tirunelveli,8.7251,77.6845,2,The Hindu,National,"On 16 Mar, in Tirunelveli district (TN), various organisations (Tirunelveli District Public Welfare Organisation, Thamizhaga Jananayaga Thozhilaalar Maiyam, Tamils Confederation against Genocide, Chinthanaippalli, Groundwater Protection Movement, Kottravai Literary Association, Sattapanchaayat) and others staged a protest demanding an inquiry into the disappearance of an anti-Sterlite activist (R.S. Mugilan) who disappeared after releasing a video documentary on the 22 May 2018 Tutricorn protest which killed 13 people. [size=no report]",0,1552995118,IND
5018500,356,IND48140,48140,16-Mar-19,2019,1,Riots,Mob violence,Rioters (India),"TDP: Telugu Desam Party; YSRCP: Yuvajana, Sramika, Rythu Congress Party",5,Police Forces of India (2014-),,1,15,Southern Asia,India,Andhra Pradesh,Kurnool,Mantralayam,Kagallu,15.9344,77.269,1,Indo-Asian News Service,National,"On 16 Mar, in Kagallu in Mantralayam tehsil (Kurnool, AP), party workers of the TDP and YSRCP clashed during a TDP election campaign. The incident started when a TDP candidate attempted to hoist a party flag and the YSCRP stopped him. Police fired shots in the air and accidentally hit a TDP candidate and another police. [size=no report]",0,1552995118,IND
5018501,356,IND48141,48141,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),Tribal Group (India),6,,,0,60,Southern Asia,India,Andhra Pradesh,Visakhapatnam,Paderu,Paderu,18.0778,82.6604,1,Asian News International,National,"On 16 Mar, in Paderu (Visakhapatnam, AP), the Andhra Pradesh Tribal Union (APTU) staged a protest in front of Sub Collector Office demanding a magisterial inquiry into the alleged encounter of police and Maoists which killed two Maoists and compensation for the bereaved families. [size=no report]",0,1552995118,IND
5018502,356,IND48142,48142,16-Mar-19,2019,1,Battles,Armed clash,CPI (Maoist): Communist Party of India (Maoist),,2,Police Forces of India (2014-),Police Forces of India (2014-) Central Reserve Police Force,1,12,Southern Asia,India,Andhra Pradesh,Visakhapatnam,Pedabayalu,Buradamamidi,18.1419,82.6169,1,United News of India,National,"On 16 Mar, in Buradamamidi in Pedabayalu tehsil (Visakhapatnam, AP), two Maoists were killed in a gun battle between police forces and 20 Maoists. A CRPF personnel was injured. Police recovered two county made guns from the rebels.",2,1552995118,IND
5018503,356,IND48143,48143,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,Southern Asia,India,Karnataka,Bengaluru Urban,Bengaluru,Bengaluru,12.9719,77.5936,1,Deccan Herald; Indo-Asian News Service,Subnational-National,"On 16 Mar, in Bengaluru (Bengaluru Urban, Karnataka), resident welfare associations and various organizations (Citizens for Bengaluru, Bengaluru Bus Prayanikara Vedike, Bangalore Apartments Federation, Citizens for Sustainability, Whitefield Rising, Cubbon Park, I Change Indiranagar, Environment Support Group, Bengaluru Suburban Rail Users) and others staged a protest at the Maurya Circle against the tender called for the elevated corridor project in the area which can negatively affect the environment. [size=hundreds to 1500]",0,1552995118,IND
5018504,356,IND48145,48145,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,Southern Asia,India,Tamil Nadu,Madurai,Madurai,Madurai,9.9174,78.1196,2,Indo-Asian News Service,National,"On 16 Mar, in Madurai district (TN), members of a women's organisation staged a protest against the Pollachi sexual abuse by tying their eyes with a strip of black cloth. No further information was provided. [size=no report]",0,1552995118,IND
5018505,356,IND48148,48148,16-Mar-19,2019,1,Protests,Peaceful protest,Protesters (India),AAP: Aam Aadmi Party,6,,,0,60,Southern Asia,India,NCT of Delhi,New Delhi,,Delhi-New Delhi,28.6357,77.2244,3,Pioneer (India),National,"On 16 March, the Aam Aadmi Party (AAP) as a part of its campaigning burnt the manifesto of Bhartiya Janata Party of 2014 Lok Sabbha elections demanding full Statehood. The volunteers and AAP MLA's burnt the manifesto during demonstrations in all 70 Assembly constituencies in Delhi. [size=no report]",0,1552995118,IND
