title|location|date|body
Supreme Court holds man unfit for police job|NEW DELHI|April 01, 2019 00:00 IST|The Supreme Court agreed with the Madhya Pradesh police that a man acquitted on “benefit of doubt” for impersonating a police officer to commit robbery and receive stolen property is not fit to join the force as a constable. A Supreme Court Bench of Justices Arun Mishra and Navin Sinha held that the man, Bunty, had no business being in the police. His acquittal had been on technical grounds. He was involved in a crime of moral turpitude and the acquittal did not clearly lift the clouds over his antecedents. “The perception formed by the Screening Committee that he was unfit to be inducted in the disciplined police force was appropriate… decision of Scrutiny Committee does not warrant judicial interference,” the Supreme Court said in a recent judgment. The State had come in appeal against a decision of the Madhya Pradesh High Court Division Bench, which set aside the screening committee’s call to reject Bunty. A single judge of the High Court had earlier upheld the committee’s stand. The court said acquittal on benefit of doubt is not really a “clean acquittal.” “If acquittal in a case involving moral turpitude or offence of heinous/serious nature, on technical ground and it is not a case of clean acquittal, or benefit of reasonable doubt has been given, the employer may consider relevant facts as to antecedents and may take appropriate decision as to the continuance of the employee,” the apex court referred to past precedents. The court pointed out that it is really up to the police force to decide whether a person who has not had an “honourable” acquittal should be inducted in the police force.

SC suspends eco clearance for international airport in Goa|NEW DELHI|April 01, 2019 00:00 IST|The health of the environment is key to preserving the right to life, the Supreme Court has observed in a recent judgment and suspended the environmental clearance granted for an international airport at Mopa in Goa. Upholding the need to strengthen the ‘environmental rule of law’ for both intra and inter-generational equity, a Bench of Justices D.Y. Chandrachud and Hemant Gupta said every branch of governance and institutions across the country should strive to enforce this rule of law. While the most direct effect of a strong rule of law is protection of the environment, a firm regime against environmental exploitation would “strengthen rule of law more broadly, support sustainable economic and social development, protect public health, contribute to peace and security by avoiding and defusing conflict, and protect human and constitutional rights.” The apex court said transparency is necessary for the robust enforcement of environmental rule of law. “The rule of law requires a regime which has effective, accountable and transparent institutions,” Justice Chandrachud observed. In this case, the court said how the State of Goa, the Centre and the concessionaire highlighted the need for the new airport to accommodate the increasing volume of passengers. They had urged the court to disregard the “flaws” in the Environment Impact Assessment (EIA) process. They had argued that setting up a new airport was a “matter of policy.” However, dismissing their pleas, the court said “the role of the decision-makers is to ensure that every important facet of the environment is adequately studied and that the impact of the proposed activity is carefully assessed.” “In the present case, as our analysis has indicated, there has been a failure of due process,” the court held.

‘Bid to dislodge AIADMK from T.N. won’t succeed’|Vellore|April 01, 2019 00:00 IST|  Deputy Chief Minister O. Panneerselvam has challenged DMK leader M.K. Stalin during a campaign meeting of the Vellore Lok Sabha candidate A.C. Shanmugam, who is contesting under the ‘two leaves’ symbol. “Even your father could not succeed in decimating the AIADMK, can you do it?,” Mr. Panneerselvam said to Mr. Stalin.

Centre turns down Bengal’s request for paramilitary forces|Kolkata|April 01, 2019 00:00 IST|  The Mamata Banerjee government’s plea to retain 35 companies of Central forces, adding up to over 3,000 paramilitary personnel posted in areas that were earlier dominated by the outlawed Communist Party of India-Maoist, has been turned down by the Ministry of Home Affairs. The State government has since then written to the Ministry to reconsider the decision, noting that the move might “re-ignite the Maoist problems in the region”, an official said. About a fortnight ago, the Ministry had informed the State of its decision to pull out the 35 companies of Central forces and deploy them on election duty in other parts of West Bengal.

Gold hidden in flower vase seized at airport|April 01, 2019 00:00 IST|April 01, 2019 00:00 IST|Air Intelligence Unit of Department of Customs on Sunday seized around 150 grams of gold, concealed in a flower vase, from a passenger who arrived here from Dubai. During a routine scanning of baggages of passengers, who landed here by a Spicejet flight, the Customs officials grew suspicious over the content inside the flower vase found in possession of a passenger identified as A. Stephen of Sivaganga district. However, during enquiry, the youth revealed that he was given the flower vase by someone at Dubai Airport asking him to hand it over to a friend who would collect it at the Madurai airport. “Our suspicion was strengthened and our officials broke open the vase and found gold in the form of powder inside the vase. We suspect that the passenger was not aware of the gold being concealed in the vase,” said Assistant Commissioner A. Venkadesh Babu said. The Commissioner warned passengers from accepting any goods or parcels from any strangers who approach them with the request of handing them over to their friends of relatives.

