title|location|date|body|is_event|raw_target_date
SC people allege discrimination|MADURAI|January 01, 2019 00:00 IST|A group of people belonging to Scheduled Caste (SC) communities petitioned Madurai Collector’s office on Monday alleging discrimination in the conduct of jallikattu in Avaniapuram village. The petitioners said that not a single person from any of the SC communities had been included in the organising committees formed in the village to organise the event. Pointing out that there was an issue going on between two committees over the right to organise jallikattu this year, S.P. Tamil Akilan, who belongs to the Arunthathiyar community, said that neither had any representatives from SC communities. “The committee consists of members from few dominant castes alone. In fact, we are demanding that all the 17 communities residing in the village must have representation,” he said. A. Sakthivel, belonging to Devendrakula Vellalar caste, said that the SC communities were residing in the village since time immemorial. “On the contrary, for some of the persons who are projecting themselves as leaders of the committee, Avaniapuram is not even their ancestral place,” he said. Highlighting that a peace committee meeting organised at the Revenue Divisional Officer’s level to resolve the issue between the two committees failed, he said that a meeting planned at the Collector’s level must ensure that people from SC communities get representation. “All the SC communities are together in this fight. If there is no representation, we will not hesitate to approach the Court or stage mass demonstration. We will not allow jallikattuto happen without our representation in the committee,” he added.|0|
Three killed, 12 injured in U.P. road accident|Bhadohi|January 01, 2019 00:00 IST| A pickup van carrying 15 passengers overturned here, killing three people and injuring 12 others, the police said. The passengers were returning to Mirzapur on Sunday after attending a programme when the accident occurred at Jagannathpur village. The van driver lost control of the vehicle while trying to save a motorcycle rider.|0|
Body found in canal|CHENNAI|January 01, 2019 00:00 IST|Two men hacked to death a 23-year-old murder accused and dumped his body into a canal in Kottivakkam on Monday.   Police said the deceased was identified as Kanda alias Kandakumar, 27. He was cited as an accused in the murder of Chinnaiya in Kottivakkam in 2012. He was out on bail and lived in Mylapore.    Police said Kanda was in Kottivakkam to celebrate the New Year with relatives. After following him, Sathish and Santhosh, sons of Chinnaiya, waylaid Kanda and indiscriminately attacked him on Canal Bank Road. They then dumped his body into the canal.|0|
Rs. 12 crore drinking water scheme for Rasipuram|Namakkal|January 01, 2019 00:00 IST|The State Government has sanctioned Rs. 12 crore as grant for the implementation of the Rasipuram - Nedungulam comprehensive drinking water scheme for the supply of potable drinking water to Rasipuram town and other nearby town panchayats, V. Saroja, Social Welfare Minister, said here on Sunday. Speaking at a function to inaugurate the completed development works and lay foundation for the new projects here, Dr. Saroja said that the detailed project report for the scheme had already been prepared. The execution of this scheme will ensure regular supply of potable drinking water to Rasipuram municipality, Vennanthur panchayat union, and the town panchayats of Vennanthur, Athanur, Pillanallur and Pattanam. “This scheme will solve the drinking water problem in the entire Rasipuram Assembly constituency once for all”, Dr. Saroja said. The drinking water scheme will be executed for a projected population expected in the next 30 to 40 years. Electricity Minister P. Thangamani said that Chief Minister recently sanctioned a special grant of Rs. 5 crore in the first phase for the relaying of roads in the areas where the underground drainage project had already been completed in Rasipuram town. The bazaar road will be relaid by constructing 43 culverts and drainage facility at an outlay of Rs. three crore.|0|
2,020 get subsidised scooters|MADURAI|January 01, 2019 00:00 IST|A total of 2,020 working women have received a subsidy of Rs. 4.84 crore in Madurai district as part of the ‘Amma Scooter’ scheme of Tamil Nadu government, a statement issued by the district administration said. While a total of 4,328 beneficiaries were selected as beneficiaries under the scheme for the financial year 2017-18, the subsidy has been released so far to 2,020 persons. As per the scheme, working women, who meet the stipulated conditions, are eligible for a subsidy of 50 % of the cost of the bike or Rs. 20,000, whichever is smaller.|0|
Water level|Madurai|January 01, 2019 00:00 IST| Water level in Periyar dam stood at 123.25 feet (permissible level is 142 feet) on Monday. The inflow was 252 cusecs and discharge 900 cusecs. In Vaigai dam, the level was 55.41 feet (max level 71 feet). The inflow was 553 cusecs and discharge 60 cusces. The combined storage in Periyar credit was 4,895 mcft. No rainfall was recorded in the last 24 hours ending 6 a.m.|0|
City doctor killed in accident|COIMBATORE|January 01, 2019 00:00 IST|A doctor attached to a private hospital at R.S. Puram in the city was killed after the sports utility vehicle he drove fell into a gorge near Valparai late on Sunday. The police said that the accident took place when the doctor and three others were on an illegal night safari arranged by an estate bungalow at Vellamalai near Valparai around 9.30 p.m. The police identified the deceased as A. L. Thyagarajan, a consultant diabetologist. Thyagarajan, his daughter Varsha, brother Balasubramaniam and his son Sibisaran were travelling in the SUV. The police said that the SUV fell into the gorge while proceeding on a narrow bridge in the hill station. While Thyagarajan died on the spot, the other three escaped. The police said that the driver’s side of the SUV had fallen on a rock and that led to Thyagarajan's death. The Valparai police, who have registered a case, have named the manager of the bungalow and its watchman as accused.|0|
Dharmapuri district witnesses decline in accident cases|Dharmapuri|January 01, 2019 00:00 IST|It has been a mixed bag of crime statistics for the district, with the figures witnessing a fall in the number of road accident cases, but seeing a marginal increases in violent crimes such as murders, according to a release. The release claimed that in 2018, there have been 34 murder cases registered in Dharmapuri, in comparison to 2017, when 33 cases were registered. In 2018, the number of cases related to property offences was 248, recording a steep fall from such cases recorded in 2017, which was 305. Cases pertaining to offences against people was 429 in 2018, in comparison to 450 cases in 2017. This is a 6% reduction in the number of cases reported in the previous year. There has been a significant fall in the number of accident cases. The total number of road accident cases was 1,443 cases in 2018, while it was 1,501 in 2017. Cases registered under special and local laws were 5,208 cases in 2018, while the number of such cases were 4,419 in 2017. There is a 15.1% rise in the number of cases booked under special and local laws. According to the police administration, there is a 18.6% reduction in the property offences, and about 5.4% reduction in property loss. Further, 81% of cases were detected and 84% of cases were recovered in property offences cases.|0|
Nurses allege they were cheated by advocate|RAMANATHAPURAM|January 01, 2019 00:00 IST|Alleging that they were cheated to the tune of more than Rs. 40 lakh collectively by an advocate practising in the Madurai Bench of Madras High Court on the promise of permanent jobs in government hospitals, a group of nurses urged the district administration on Monday to help them get the money back. More than 20 nurses, who were among the 48 nurses employed in primary health centres in the district on contract basis for three years since 2013, in their petition presented to Collector K. Veera Raghava Rao, said they were cheated after they gave Rs. 1.5 lakh each to the advocate, and sought his intervention to get their money back. M. Vasuki, who led the nurses, said after the completion of contract period, their colleague Rajeswari suggested that her husband Ravi, an employee in Tamil Nadu State Transport Corporation, knew a senior advocate in Madurai and he could help in getting their services regularised by filing a writ petition. Initially, they gave Rs. 7,000 each and the advocate provided them the writ petition number and told them that he had filed a case on their behalf seeking a direction to the State government to regularise their services. A couple of years later, the advocate informed them that they won the case but could get the posts only if officials in the department concerned were bribed, she said. In their anxiety to get permanent jobs in government hospitals, 28 of the nurses gave Rs. 1.5 lakh each to the advocate, but they did not get jobs, she said. After realising that they were taken for a ride, the nurses presented a petition to the then Superintendent of Police, Madurai, in July 2017. Later, the Crime Branch police, after making a preliminary enquiry, said they could not take up the case as the amount involved was more than Rs. 25 lakh, which was beyond their jurisdiction. The Crime Branch police also said the advocate failed to appear before them after responding to the first summons, she said. The group of nurses also presented a petition to Ramanathapuram SP Omprakash Meena, she said.|0|
It’s chock-a-block in Puducherry on New Year eve|PUDUCHERRY|January 01, 2019 00:00 IST|Heavy influx of tourists from neighbouring States and lack of infrastructure in the former French outpost to handle the traffic caused utter chaos in the city, leaving the police at their wits’ end on Monday. Although elaborate arrangements were claimed to have been made, lack of adequate parking lots to accommodate vehicles transporting tourists compounded the situation. The traffic police barricaded the Law De Lauriston Street and a few other streets in the White Town to ensure smooth flow of traffic. But the police personnel posted at important junctions in the city could not regulate the flow of traffic, resulting in severe congestion all along the stretch from Mahatma Gandhi Road to Gingee Salai. Barricades placed in various parts of the city were a major obstruction to senior citizens and tourists walking towards the Beach Promenade. They found it difficult to move through the stretch. According to a police official, “All tourist vehicles including buses and vans coming from the neighbouring states were directed to be parked at the old distillery and other designated parking spaces in the White Town. Similarly, for vehicles coming from the south side, parking space had been allotted at the old and new port grounds, Indira Gandhi Sports Complex and Petit Seminaire School.” The Tourism department has projected an increase in tourist arrivals to Puducherry for this New Year. Total occupancy A majority of the hotels have recorded near total occupancy with rooms booked till January 4, while a few have blocked rooms for their regular corporate clients, an official said. The rooms had been booked more than 15 days in advance. Popular spots including the Beach Promenade and Matrimandir in Auroville are teeming with tourists. Lighting and reverberating music at hotels, clubs and resorts, which were decked up with festoons and lit up, provided a festive look. The debut edition of the Catamaran Beach Festival 2018 on December 30 and 31 at Chinna Veerampattinam beach will feature a curated multi-genre line up of 18 performing artists with the music ranging across adrenaline-driven rock to Carnatic alternative, hip hop, EDM (a variety of afro, tribal, minimalist techno and reggae). Festivities galore At The Storytellers Bar in The Promenade Hotel, partying guests were treated to rock hits from 60s, 70s, 80s and 90s presented by city-based Dhani’s Trio and DJ iSean from Auroville. The hotel is also organising a fun ‘Hangover Brunch’ at the Blue Line restaurant on January 1. The Old Port grounds featured the band Madras Mail and a couple of sets by DJs. The Art and Craft village in Murungapakkam, Seagulls restaurant and PY Cafe also hosted music-driven New Year parties. There were a few options for revellers who preferred to avoid the chaos in the city with popular haunts such as the Ashok Beach Resort which hosted ‘Rock N Rolla 2019’ featuring hip hop and EDM sets steered by DJs Balie, Moon and Yugi, St. James Court Beach Resort and Bonjour Bonheur Ocean Spray hosting New Year parties.|0|
