datapublished,name,description,provider,url,,,,
2019-03-12T17:23:00.0000000Z,"<b>In India</b>’s Election Season, a Bombing Interrupts Modi’s Slump",But that’s not how it has played out within <b>India</b>. <b>Political</b> analysts say that Indians are rallying ... Image Indian farmers and agricultural laborers marching toward Parliament during a <b>protest</b> in New Delhi in November.CreditAltaf Qadri/Associated ...,"[{'name': 'nytimes.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_cc657c1af702fae867766bbf2aa25756&pid=news'}}, '_type': 'Organization'}]",https://www.nytimes.com/2019/03/11/world/asia/modi-india-election.html,,,,
2019-03-01T10:46:00.0000000Z,<b>India</b> bans Kashmir religious group amid sweeping crackdown,"SRINAGAR, <b>India</b> (AP) — <b>India</b> has banned the ... in anticipation of <b>protests</b> against Indian rule. Police and soldiers, carrying automatic rifles and wearing <b>riot</b> gear, erected iron barricades and laid razor wire on roads and intersections to cut off ...","[{'name': 'The Seattle Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_ea6cb82ab2fec30d4d14c92dad031a5a&pid=news'}}, '_type': 'Organization'}]",https://www.seattletimes.com/nation-world/nation/india-bans-kashmir-religious-group-amid-sweeping-crackdown/,,,,
2019-03-14T13:56:00.0000000Z,How Hindu nationalists built on the roots of majoritarianism <b>in India</b> and normalised public violence,"Postcolonial <b>India</b> inherited ... schools – by <b>protesters</b> of many kinds, acts that are often recorded in police records as acts of “public vandalism” rather than <b>political</b> events or <b>riots</b> ...","[{'name': 'Scroll', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_ffbe887c3332356301b2521ff3ea9932&pid=news'}}, '_type': 'Organization'}]",https://scroll.in/article/916406/how-hindu-nationalists-built-on-the-roots-of-majoritarianism-in-india-and-normalised-public-violence,,,,
2019-03-11T10:45:00.0000000Z,The rise of the monumental statue in modern-day <b>India</b>,"When the statue was unveiled last October, its £314m pricetag prompted <b>protests</b> from members of the ... not a new phenomenon – monuments to <b>political</b> and cultural figures exist all across <b>India</b>, often the result of popular initiatives – nor is their ...","[{'name': 'Apollo', '_type': 'Organization'}]",https://www.apollo-magazine.com/monumental-statues-india/,,,,
2019-03-20T06:26:00.0000000Z,<b>RIOTS</b> erupt in Kashmir on <b>India</b>-Pakistan border after teacher dies - ‘Cold-blooded MURDER’,"<b>India</b> deploys submarines amid tensions Local reports suggest that some involved in the <b>protests</b> threw stones at the police. In retaliation, they let off tear gas to attempt to seize control of the situation. <b>Political</b> leader Mehbooba Mufti, of the Peoples ...","[{'name': 'Daily Express', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_8e3dc387a340dfc5717063b4d27714d2&pid=news'}}, '_type': 'Organization'}]",https://www.express.co.uk/news/world/1102592/india-pakistan-Kashmir-latest-news-rizwan-asad-pandit-pulwama-terror-attack,,,,
2019-03-01T21:03:00.0000000Z,"As <b>India</b>, Pakistan stand down, Kashmir remains on precarious edge","But <b>India</b>&#39;s problems in the Indian-administered Kashmir appear to be steadily increasing, despite - and may be because of - trying to force a military solution to a <b>political</b> problem ... &quot;There will be massive <b>protests</b> in every way if <b>India</b> acts on ...","[{'name': 'Al Jazeera English', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_29ad67539580a95cda82bfc29bc3dba7&pid=news'}}, '_type': 'Organization'}]",https://www.aljazeera.com/indepth/features/india-pakistan-stand-kashmir-remains-precarious-edge-190301115237414.html,,,,
2019-02-24T12:26:00.0000000Z,"5 dead in Kashmir, shops stage boycott of crackdown by <b>India</b>","SRINAGAR, <b>India</b> ... wearing <b>riot</b> gear, soldiers and police erected iron barricades and laid razor wire on roads and intersections to cut off neighborhoods. The crackdown began Friday night. Police are mainly targeting Kashmir’s largest <b>political</b> ...","[{'name': 'The Seattle Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_ea6cb82ab2fec30d4d14c92dad031a5a&pid=news'}}, '_type': 'Organization'}]",https://www.seattletimes.com/nation-world/kashmir-shuts-to-protest-indian-crackdown-against-activists/,,,,
2019-03-11T00:00:00.0000000Z,Anti-<b>India</b> <b>protest</b> in London attacked; several injured,"Pakistan, March 11 -- <b>India</b>&#39;s Bharatiya Janata Party-backed extremists attacked Sikhs and Kashmiris gathered outside the Indian High Commission in London to <b>protest</b> Indian brutalities ... for immediate release of Sikh <b>political</b> prisoners by <b>India</b> ...","[{'name': 'Daily Times(PK) on MSN.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_0cfcddaa71cae000b74e3bf52bc84d78&pid=news'}}, '_type': 'Organization'}]",https://www.msn.com/en-xl/news/other/anti-india-protest-in-london-attacked-several-injured/ar-BBUBYsD,,,,
2019-03-19T23:11:00.0000000Z,Railing Against <b>India</b>’s Right-Wing Nationalism Was a Calling. It Was Also a Death Sentence.,"But her <b>political</b> activism and her lively social media presence extended her reach far beyond the paper’s print run. At a time of intense vitriol against the press <b>in India</b>, she was a fearless ...","[{'name': 'Medium', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_b3e93cffa961fbff66cfbd26395bf0c6&pid=news'}}, '_type': 'Organization'}]",https://medium.com/new-york-times-magazine/railing-against-indias-right-wing-nationalism-was-a-calling-it-was-also-a-death-sentence-703b5863b4e7,,,,
2019-03-24T04:04:00.0000000Z,<b>India</b>’s Narendra Modi Seeks Reelection as Religious Liberty Suffers,"The State Department’s latest report on religious freedom noted that <b>India</b>’s constitutional protection ... he was implicated in the 2002 <b>riots</b> which killed more than 1,200 people, mostly ...","[{'name': 'The American Spectator', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_bd4045b7753b467a1b829442cfecf68d&pid=news'}}, '_type': 'Organization'}]",https://spectator.org/indias-narendra-modi-seeks-reelection-as-religious-liberty-suffers/,,,,
